0023 20E3	gorchudd bysell #
1F9DD 1F3FC	coblyn arlliw croen canolig-golau
1F9DD 1F3FD	coblyn arlliw croen canolog
1F9DD 1F3FE	coblyn arlliw croen canolig-tywyll
1F9DD 1F3FF	coblyn arlliw croen tywyll
1F9DE	genie
1F9DF	sombi
1F9E0	ymennydd
1F9E1	calon oren
1F9E2	cap pêl fas
1F9E3	scarff
1F9E4	menyg
1F9E5	côt
1F9E6	sanau
1F9E7	amlen goch
1F9E8	gwialen tân
1F9E9	jig-so
1F9EA	tiwb profi
1F9EB	dysgl petri
1F9EC	dna
1F9ED	cwmpawd
1F9EE	abacws
1F9EF	diffoddydd tân
1F9F0	blwch offer
1F9F1	bricsen
1F9F2	magnet
1F9F3	bagiau
1F9F4	potel hufen
1F9F5	edafedd
1F9F6	edau
1F9F7	pin diogelwch
1F9F8	tedi bêr
1F9F9	ysgubell
1F9FA	basged
1F9FB	rholyn o bapur
1F9FC	sebon
1F9FD	sbwng
1F9FE	derbynneb
1F9FF	amwled nazar
1FA70	esgidiau bale
1FA71	siwt nofio
1FA72	trôns
1FA73	siorts
1FA74	sandal thong
1FA75	calon las golau
1FA76	calon lwyd
1FA77	calon binc
1FA78	diferyn o waed
1FA79	bandej glynu
1FA7A	stethosgop
1FA7B	pelydr-x
1FA7C	bagl
1FA80	io-io
1FA81	barcud
1FA82	parasiwt
1FA83	bwmerang
1FA84	ffon hud
1FA85	piñata
1FA86	doliau sy’n nythu
1FA87	maracas
1FA88	ffliwt
1FA89	telyn
1FA8A	trombôn
1FA8E	cist drysor
1FA8F	rhaw
1FA90	planed cylchog
1FA91	cadair
1FA92	rasel
1FA93	bwyell
1FA94	lamp diya
1FA95	banjo
1FA96	helmed filitaraidd
1FA97	acordion
1FA98	drwm hir
1FA99	darn arian
1FA9A	llif gwaith coed
1FA9B	sgriwdreifar
1FA9C	ysgol ddringo
1FA9D	bachyn
1FA9E	drych
1FA9F	ffenestr
1FAA0	offeryn sugno
1FAA1	nodwydd wnïo
1FAA2	cwlwm
1FAA3	bwced
1FAA4	trap llygod
1FAA5	brwsh dannedd
1FAA6	carreg fedd
1FAA7	placard
1FAA8	carreg
1FAA9	pêl ddrych
1FAAA	cerdyn adnabod
1FAAB	batri isel
1FAAC	hamsa
1FAAD	ffan llaw plyg
1FAAE	pig gwallt
1FAAF	khanda
1FAB0	pry
1FAB1	mwydyn
1FAB2	chwilen
1FAB3	chwilen ddu
1FAB4	planhigyn mewn pot
1FAB5	pren
1FAB6	pluen
1FAB7	lotws
1FAB8	cwrel
1FAB9	nyth gwag
1FABA	nythu gydag wyau
1FABB	hiasinth
1FABC	slefren fôr
1FABD	adain
1FABE	coeden heb ddail
1FABF	gwydd
1FAC0	Y galon
1FAC1	Yr ysgyfaint
1FAC2	pobl yn cofleidio
1FAC3	dyn beichiog
1FAC3 1F3FB	dyn beichiog arlliw croen golau
1FAC3 1F3FC	dyn beichiog arlliw croen canolig-golau
1FAC3 1F3FD	dyn beichiog arlliw croen canolog
1FAC3 1F3FE	dyn beichiog arlliw croen canolig-tywyll
1FAC3 1F3FF	dyn beichiog arlliw croen tywyll
1FAC4	person beichiog
1FAC4 1F3FB	person beichiog arlliw croen golau
1FAC4 1F3FC	person beichiog arlliw croen canolig-golau
1FAC4 1F3FD	person beichiog arlliw croen canolog
1FAC4 1F3FE	person beichiog arlliw croen canolig-tywyll
1FAC4 1F3FF	person beichiog arlliw croen tywyll
1FAC5	person â choron
1FAC5 1F3FB	person â choron arlliw croen golau
1FAC5 1F3FC	person â choron arlliw croen canolig-golau
1FAC5 1F3FD	person â choron arlliw croen canolog
1FAC5 1F3FE	person â choron arlliw croen canolig-tywyll
1FAC5 1F3FF	person â choron arlliw croen tywyll
1FAC6	ôl bys
1FAC8	creadur blewog
1FACD	orca
1FACE	elc
1FACF	asyn
1FAD0	llus
1FAD1	pupryn
1FAD2	olewydd
1FAD3	Bara fflat
1FAD4	tamale
1FAD5	fondue
1FAD6	tebot
1FAD7	arllwys hylif
1FAD8	ffa
1FAD9	jar
1FADA	gwraidd sinsir
1FADB	pod pys
1FADC	gwreiddlysieuyn
1FADF	slempio
1FAE0	wyneb toddi
1FAE1	wyneb saliwt
1FAE2	wyneb gyda llygaid agored a llaw dros geg
1FAE3	wyneb gyda llygad sy’n sbïo
1FAE4	wyneb â cheg letraws
1FAE5	wyneb llinell dotiog
1FAE6	brathu gwefus
1FAE7	swigod
1FAE8	wyneb sydd ysgwyd
1FAE9	wyneb gyda bagiau dan y llygaid
1FAEA	wyneb wedi ystumio
1FAEF	cwmwl ymladd
1FAF0	llaw gyda bys mynegai a bawd wedi’u croesi
1FAF0 1F3FB	llaw gyda bys mynegai a bawd wedi’u croesi arlliw croen golau
1FAF0 1F3FC	llaw gyda bys mynegai a bawd wedi’u croesi arlliw croen canolig-golau
1FAF0 1F3FD	llaw gyda bys mynegai a bawd wedi’u croesi arlliw croen canolog
1FAF0 1F3FE	llaw gyda bys mynegai a bawd wedi’u croesi arlliw croen canolig-tywyll
1FAF0 1F3FF	llaw gyda bys mynegai a bawd wedi’u croesi arlliw croen tywyll
1FAF1	llaw i’r dde
1FAF1 1F3FB	llaw i’r dde arlliw croen golau
1FAF1 1F3FC	llaw i’r dde arlliw croen canolig-golau
1FAF1 1F3FD	llaw i’r dde arlliw croen canolog
1FAF1 1F3FE	llaw i’r dde arlliw croen canolig-tywyll
1FAF1 1F3FF	llaw i’r dde arlliw croen tywyll
1FAF2	llaw i’r chwith
1FAF2 1F3FB	llaw i’r chwith arlliw croen golau
1FAF2 1F3FC	llaw i’r chwith arlliw croen canolig-golau
1FAF2 1F3FD	llaw i’r chwith arlliw croen canolog
1FAF2 1F3FE	llaw i’r chwith arlliw croen canolig-tywyll
1FAF2 1F3FF	llaw i’r chwith arlliw croen tywyll
1FAF3	llaw palmwydd i lawr
1FAF3 1F3FB	llaw palmwydd i lawr arlliw croen golau
1FAF3 1F3FC	llaw palmwydd i lawr arlliw croen canolig-golau
1FAF3 1F3FD	llaw palmwydd i lawr arlliw croen canolog
1FAF3 1F3FE	llaw palmwydd i lawr arlliw croen canolig-tywyll
1FAF3 1F3FF	llaw palmwydd i lawr arlliw croen tywyll
1FAF4	llaw palmwydd i fyny
1FAF4 1F3FB	llaw palmwydd i fyny arlliw croen golau
1FAF4 1F3FC	llaw palmwydd i fyny arlliw croen canolig-golau
1FAF4 1F3FD	llaw palmwydd i fyny arlliw croen canolog
1FAF4 1F3FE	llaw palmwydd i fyny arlliw croen canolig-tywyll
1FAF4 1F3FF	llaw palmwydd i fyny arlliw croen tywyll
1FAF5	bys mynegai yn pwyntio at y gwyliwr
1FAF5 1F3FB	bys mynegai yn pwyntio at y gwyliwr arlliw croen golau
1FAF5 1F3FC	bys mynegai yn pwyntio at y gwyliwr arlliw croen canolig-golau
1FAF5 1F3FD	bys mynegai yn pwyntio at y gwyliwr arlliw croen canolog
1FAF5 1F3FE	bys mynegai yn pwyntio at y gwyliwr arlliw croen canolig-tywyll
1FAF5 1F3FF	bys mynegai yn pwyntio at y gwyliwr arlliw croen tywyll
1FAF6	dwylo calon
1FAF6 1F3FB	dwylo calon arlliw croen golau
1FAF6 1F3FC	dwylo calon arlliw croen canolig-golau
1FAF6 1F3FD	dwylo calon arlliw croen canolog
1FAF6 1F3FE	dwylo calon arlliw croen canolig-tywyll
1FAF6 1F3FF	dwylo calon arlliw croen tywyll
1FAF7	llaw yn gwthio i’r chwith
1FAF7 1F3FB	llaw yn gwthio i’r chwith arlliw croen golau
1FAF7 1F3FC	llaw yn gwthio i’r chwith arlliw croen canolig-golau
1FAF7 1F3FD	llaw yn gwthio i’r chwith arlliw croen canolog
1FAF7 1F3FE	llaw yn gwthio i’r chwith arlliw croen canolig-tywyll
1FAF7 1F3FF	llaw yn gwthio i’r chwith arlliw croen tywyll
1FAF8	llaw yn gwthio i’r dde
1FAF8 1F3FB	llaw yn gwthio i’r dde arlliw croen golau
1FAF8 1F3FC	llaw yn gwthio i’r dde arlliw croen canolig-golau
1FAF8 1F3FD	llaw yn gwthio i’r dde arlliw croen canolog
1FAF8 1F3FE	llaw yn gwthio i’r dde arlliw croen canolig-tywyll
1FAF8 1F3FF	llaw yn gwthio i’r dde arlliw croen tywyll
